Name,Description,Cost Price (Exc. Tax),Tax Rate,Cost Price (Inc. Tax),Sale Price (Inc. Tax),Variable Price,Margin %,Tax Exempt/ EBT Eligible,Recommended Retail Price (RRP),Barcode,Category,Product Type,Tare Weight,
Ginger- ground,,0.00635,NoTax,0.00635,0.01270,False,50.0000,False,0,,spices,Standard,,
Mustard seed ground,,0.00510,NoTax,0.00510,0.01020,False,50.0000,False,0,,spices,Standard,,
Mustard seeds- yellow,,0.00265,NoTax,0.00265,0.00530,False,50.0000,False,0,,spices,Standard,,
Paprika,,0.00530,NoTax,0.00530,0.01060,False,50.0000,False,0,,spices,Standard,,
Paprika- smoked,,0.00655,NoTax,0.00655,0.01310,False,50.0000,False,0,,spices,Standard,,
Turmeric,,0.00670,NoTax,0.00670,0.01340,False,50.0000,False,0,,spices,Standard,,
Mixed spices,,0.00780,NoTax,0.00780,0.01560,False,50.0000,False,0,,spices,Standard,,
Ground white pepper,,0.02360,NoTax,0.02360,0.04720,False,50.0000,False,0,,spices,Standard,,
Nutmeg- ground,,0.02695,NoTax,0.02695,0.05390,False,50.0000,False,0,,spices,Standard,,
Nutmeg- whole,,0.02400,NoTax,0.02400,0.04800,False,50.0000,False,0,,spices,Standard,,
Basil,,0.00465,NoTax,0.00465,0.00930,False,50.0000,False,0,,herbs,Standard,,
Bay leaves,,0.00780,NoTax,0.00780,0.01560,False,50.0000,False,0,,herbs,Standard,,
Mixed herbs,,0.00585,NoTax,0.00585,0.01170,False,50.0000,False,0,,herbs,Standard,,
Oregano,,0.00950,NoTax,0.00950,0.01900,False,50.0000,False,0,,herbs,Standard,,
Parsley,,0.00975,NoTax,0.00975,0.01950,False,50.0000,False,0,,herbs,Standard,,
Rosemary,,0.00545,NoTax,0.00545,0.01090,False,50.0000,False,0,,herbs,Standard,,
Sage,,0.01460,NoTax,0.01460,0.02920,False,50.0000,False,0,,herbs,Standard,,
Thyme,,0.01000,NoTax,0.01000,0.02000,False,50.0000,False,0,,herbs,Standard,,
Dill,,0.00900,NoTax,0.00900,0.01800,False,50.0000,False,0,,herbs,Standard,,
Aniseed,,0.01330,NoTax,0.01330,0.02660,False,50.0000,False,0,,herbs,Standard,,
Marjoram,,0.00150,NoTax,0.00150,0.00300,False,50.0000,False,0,,herbs,Standard,,
mint,,0.00450,NoTax,0.00450,0.00900,False,50.0000,False,0,,herbs,Standard,,
muesli deluxe,,0.00288,NoTax,0.00288,0.00576,False,50.0000,False,0,,cereal,Standard,,
bran flakes,,0.00364,NoTax,0.00364,0.00780,False,53.3300,False,0,,cereal,Standard,,
Organic oats ,,0.00130,NoTax,0.00130,0.00260,False,50.0000,False,0,,cereal,Standard,,
almonds,,0.00995,NoTax,0.00995,0.02000,False,50.2500,False,0,,nuts & seeds,Standard,,
cashews,,0.01900,NoTax,0.01900,0.02900,False,34.4800,False,0,,nuts & seeds,Standard,,
hazel,,0.01180,NoTax,0.01180,0.02540,False,53.5400,False,0,,nuts & seeds,Standard,,
pine nuts,,0.01764,NoTax,0.01764,0.03550,False,50.3100,False,0,,nuts & seeds,Standard,,
peanuts,,0.00353,NoTax,0.00353,0.00760,False,53.5500,False,0,,nuts & seeds,Standard,,
seed mix,,0.00338,NoTax,0.00338,0.01100,False,69.2700,False,0,,nuts & seeds,Standard,,
sunflower,,0.00199,NoTax,0.00199,0.00450,False,55.7800,False,0,,nuts & seeds,Standard,,
pumpkin,,0.00530,NoTax,0.00530,0.01100,False,51.8200,False,0,,nuts & seeds,Standard,,
coconut chips,,0.00339,NoTax,0.00339,0.00800,False,57.6300,False,0,,baking,Standard,,
couscous,,0.00254,NoTax,0.00254,0.00550,False,53.8200,False,0,,grains & beans ,Standard,,
quinoa,,0.00290,NoTax,0.00290,0.00630,False,53.9700,False,0,,grains & beans ,Standard,,
lentils red,,0.00108,NoTax,0.00108,0.00250,False,56.8000,False,0,,grains & beans ,Standard,,
lentils green,,0.00136,NoTax,0.00136,0.00300,False,54.6700,False,0,,grains & beans ,Standard,,
aduki,,0.00230,NoTax,0.00230,0.00460,False,50.0000,False,0,,grains & beans ,Standard,,
red kidney beans ,,0.00230,NoTax,0.00230,0.00500,False,54.0000,False,0,,grains & beans ,Standard,,
chickpeas,,0.00150,NoTax,0.00150,0.00350,False,57.1400,False,0,,grains & beans ,Standard,,
wheat grain,,0.00126,NoTax,0.00126,0.00300,False,58.0000,False,0,,grains & beans ,Standard,,
chopped figs,,0.00305,NoTax,0.00305,0.00610,False,50.0000,False,0,,fruit,Standard,,
apricots whole,,0.00434,NoTax,0.00434,0.00950,False,54.3200,False,0,,fruit,Standard,,
Black peppercorns,,0.01510,NoTax,0.01510,0.03020,False,50.0000,False,0,,spices,Standard,,
Cardamon seed whole,,0.01325,NoTax,0.01325,0.05300,False,75.0000,False,0,,spices,Standard,,
Caraway seeds,,0.00770,NoTax,0.00770,0.01540,False,50.0000,False,0,,spices,Standard,,
Cardamon seed- ground,,0.01325,NoTax,0.01325,0.05300,False,75.0000,False,0,,spices,Standard,,
Chilli ground,,0.00570,NoTax,0.00570,0.01140,False,50.0000,False,0,,spices,Standard,,
Ceylon cinnamon,,0.00835,NoTax,0.00835,0.01670,False,50.0000,False,0,,spices,Standard,,
Cinnamon sticks,,0.03200,NoTax,0.03200,0.06220,False,48.5500,False,0,,spices,Standard,,
Cloves Whole,,0.01070,NoTax,0.01070,0.04200,False,74.5200,False,0,,spices,Standard,,
Cloves Ground,,0.01000,NoTax,0.01000,0.04000,False,75.0000,False,0,,spices,Standard,,
Coriander ground,,0.00420,NoTax,0.00420,0.00840,False,50.0000,False,0,,spices,Standard,,
Coriander seeds,,0.00355,NoTax,0.00355,0.00710,False,50.0000,False,0,,spices,Standard,,
Cumin ground,,0.00770,NoTax,0.00770,0.01540,False,50.0000,False,0,,spices,Standard,,
Cumin seeds,,0.00700,NoTax,0.00700,0.01400,False,50.0000,False,0,,spices,Standard,,
Curry powder,,0.00385,NoTax,0.00385,0.00770,False,50.0000,False,0,,spices,Standard,,
Fennel seeds,,0.00470,NoTax,0.00470,0.00940,False,50.0000,False,0,,spices,Standard,,
Fenugreek seed,,0.00195,NoTax,0.00195,0.00390,False,50.0000,False,0,,spices,Standard,,
Garam Masala,,0.00720,NoTax,0.00720,0.01440,False,50.0000,False,0,,spices,Standard,,
WASHING POWDER  ,,0.00227,NoTax,0.00227,0.00455,False,50.1100,False,0,,washing,Standard,,
CHIA SEEDS ,,0.00471,NoTax,0.00471,0.00990,False,52.4200,False,0,,nuts & seeds,Standard,,
LINSEED ,,0.00157,NoTax,0.00157,0.00350,False,55.1400,False,0,,nuts & seeds,Standard,,
FUSILI WHITE ,,0.00190,NoTax,0.00190,0.00330,False,42.4200,False,0,,pasta & rice,Standard,,
PENNE WHITE ,,0.00190,NoTax,0.00190,0.00330,False,42.4200,False,0,,pasta & rice,Standard,,
RISOTTO RICE ,,0.00200,NoTax,0.00200,0.00400,False,50.0000,False,0,,pasta & rice,Standard,,
WHITE BASMATI RICE G,,0.00175,NoTax,0.00175,0.00350,False,50.0000,False,0,,pasta & rice,Standard,,
brown RICE wholewheat,,0.00120,NoTax,0.00120,0.00350,False,65.7100,False,0,,pasta & rice,Standard,,
 COCONUT SUGAR ,,0.00618,NoTax,0.00618,0.01290,False,52.0900,False,0,,baking,Standard,,
GOLDEN SUGAR,,0.00208,NoTax,0.00208,0.00250,False,16.8000,False,0,,baking,Standard,,
DEMERARA SUGAR,,0.00259,NoTax,0.00259,0.00610,False,57.5400,False,0,,baking,Standard,,
 COCONUT FLOUR  ,,0.00300,NoTax,0.00300,0.00700,False,57.1400,False,0,,baking,Standard,,
